,subjID,experimentName,versionName,sequenceName,url,selected_row,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,trial,stimulus_0,stimulus_1,duration,actual_depth_0,actual_depth_1,depth_difference,kinect_answer,discrim_choice,trial_RT,log_fixation,log_sceneDuration1,log_mask1,log_sceneDuration2,log_mask2,experimentTime,totalTime,age,gender
200,732287.0,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim250_randls_36.json,http://54.173.230.142/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#32,32.0,1920.0,937.0,1920.0,1080.0,0-25-2022,9-30-15,1.0,depth_discrimination_stimuli/001417_2014-06-19_16-25-36_260595134347_rgbf000115-resize_5/001417_2014-06-19_16-25-36_260595134347_rgbf000115-resize_5-target.png,depth_discrimination_stimuli/003081_2014-06-15_15-19-16_094959634447_rgbf000150-resize_1/003081_2014-06-15_15-19-16_094959634447_rgbf000150-resize_1-target.png,250.0,4.6255,3.9125,0.7129999999999996,depth_discrimination_stimuli/003081_2014-06-15_15-19-16_094959634447_rgbf000150-resize_1/003081_2014-06-15_15-19-16_094959634447_rgbf000150-resize_1-target.png,1.0,1531.0,1001.0,250.0,1000.0,250.0,500.0,,614740,50,Man
201,732287.0,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim250_randls_36.json,http://54.173.230.142/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#32,32.0,1920.0,937.0,1920.0,1080.0,0-25-2022,9-30-15,2.0,depth_discrimination_stimuli/000788_2014-06-08_22-34-36_260595134347_rgbf000131-resize_1/000788_2014-06-08_22-34-36_260595134347_rgbf000131-resize_1-target.png,depth_discrimination_stimuli/001235_2014-06-17_16-37-36_260595134347_rgbf000084-resize_4/001235_2014-06-17_16-37-36_260595134347_rgbf000084-resize_4-target.png,250.0,3.359,3.6605,0.3014999999999999,depth_discrimination_stimuli/000788_2014-06-08_22-34-36_260595134347_rgbf000131-resize_1/000788_2014-06-08_22-34-36_260595134347_rgbf000131-resize_1-target.png,1.0,2051.0,1001.0,250.0,1000.0,250.0,500.0,,614740,50,Man
202,732287.0,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim250_randls_36.json,http://54.173.230.142/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#32,32.0,1920.0,937.0,1920.0,1080.0,0-25-2022,9-30-15,3.0,depth_discrimination_stimuli/002905_2014-06-03_18-04-43_094959634447_rgbf000151-resize_2/002905_2014-06-03_18-04-43_094959634447_rgbf000151-resize_2-target.png,depth_discrimination_stimuli/003423_2014-05-21_10-23-26_094959634447_rgbf002665-resize_2/003423_2014-05-21_10-23-26_094959634447_rgbf002665-resize_2-target.png,250.0,2.0295,3.2575,1.2279999999999998,depth_discrimination_stimuli/002905_2014-06-03_18-04-43_094959634447_rgbf000151-resize_2/002905_2014-06-03_18-04-43_094959634447_rgbf000151-resize_2-target.png,0.0,1356.0,1001.0,250.0,1000.0,250.0,500.0,,614740,50,Man
203,732287.0,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim250_randls_36.json,http://54.173.230.142/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#32,32.0,1920.0,937.0,1920.0,1080.0,0-25-2022,9-30-15,4.0,depth_discrimination_stimuli/000009_2014-05-26_14-32-05_260595134347_rgbf000034-resize_3/000009_2014-05-26_14-32-05_260595134347_rgbf000034-resize_3-target.png,depth_discrimination_stimuli/001828_2014-06-26_21-40-03_260595134347_rgbf000024-resize_0/001828_2014-06-26_21-40-03_260595134347_rgbf000024-resize_0-target.png,250.0,3.8715,4.8260000000000005,0.9545000000000003,depth_discrimination_stimuli/000009_2014-05-26_14-32-05_260595134347_rgbf000034-resize_3/000009_2014-05-26_14-32-05_260595134347_rgbf000034-resize_3-target.png,1.0,2053.0,1001.0,250.0,1000.0,250.0,500.0,,614740,50,Man
204,732287.0,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim250_randls_36.json,http://54.173.230.142/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#32,32.0,1920.0,937.0,1920.0,1080.0,0-25-2022,9-30-15,5.0,depth_discrimination_stimuli/001055_2014-06-08_18-45-35_260595134347_rgbf000111-resize_4/001055_2014-06-08_18-45-35_260595134347_rgbf000111-resize_4-target.png,depth_discrimination_stimuli/000549_2014-06-08_22-10-24_260595134347_rgbf000247-resize_3/000549_2014-06-08_22-10-24_260595134347_rgbf000247-resize_3-target.png,250.0,2.4290000000000003,1.841,0.5880000000000003,depth_discrimination_stimuli/000549_2014-06-08_22-10-24_260595134347_rgbf000247-resize_3/000549_2014-06-08_22-10-24_260595134347_rgbf000247-resize_3-target.png,1.0,1603.0,1001.0,250.0,1000.0,249.0,500.0,,614740,50,Man
205,732287.0,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim250_randls_36.json,http://54.173.230.142/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#32,32.0,1920.0,937.0,1920.0,1080.0,0-25-2022,9-30-15,6.0,depth_discrimination_stimuli/001110_2014-06-15_17-25-28_260595134347_rgbf000150-resize_1/001110_2014-06-15_17-25-28_260595134347_rgbf000150-resize_1-target.png,depth_discrimination_stimuli/000927_2014-06-09_16-32-30_260595134347_rgbf000123-resize_3/000927_2014-06-09_16-32-30_260595134347_rgbf000123-resize_3-target.png,250.0,1.7115,2.6785,0.9670000000000001,depth_discrimination_stimuli/001110_2014-06-15_17-25-28_260595134347_rgbf000150-resize_1/001110_2014-06-15_17-25-28_260595134347_rgbf000150-resize_1-target.png,0.0,2276.0,1001.0,250.0,1000.0,249.0,500.0,,614740,50,Man
206,732287.0,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim250_randls_36.json,http://54.173.230.142/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#32,32.0,1920.0,937.0,1920.0,1080.0,0-25-2022,9-30-15,7.0,depth_discrimination_stimuli/002043_2014-06-24_20-29-38_260595134347_rgbf000039-resize_4/002043_2014-06-24_20-29-38_260595134347_rgbf000039-resize_4-target.png,depth_discrimination_stimuli/003048_2014-06-15_13-49-43_094959634447_rgbf000150-resize_1/003048_2014-06-15_13-49-43_094959634447_rgbf000150-resize_1-target.png,250.0,2.8435,4.0035,1.1599999999999997,depth_discrimination_stimuli/002043_2014-06-24_20-29-38_260595134347_rgbf000039-resize_4/002043_2014-06-24_20-29-38_260595134347_rgbf000039-resize_4-target.png,0.0,1949.0,1001.0,249.0,1000.0,249.0,500.0,,614740,50,Man
207,732287.0,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim250_randls_36.json,http://54.173.230.142/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#32,32.0,1920.0,937.0,1920.0,1080.0,0-25-2022,9-30-15,8.0,depth_discrimination_stimuli/003492_2014-05-21_15-50-55_094959634447_rgbf000828-resize_1/003492_2014-05-21_15-50-55_094959634447_rgbf000828-resize_1-target.png,depth_discrimination_stimuli/002568_2014-06-24_13-59-21_094959634447_rgbf000062-resize_4/002568_2014-06-24_13-59-21_094959634447_rgbf000062-resize_4-target.png,250.0,4.06875,3.015,1.0537499999999995,depth_discrimination_stimuli/002568_2014-06-24_13-59-21_094959634447_rgbf000062-resize_4/002568_2014-06-24_13-59-21_094959634447_rgbf000062-resize_4-target.png,1.0,2069.0,1001.0,249.0,1000.0,249.0,500.0,,614740,50,Man
209,732287.0,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim250_randls_36.json,http://54.173.230.142/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#32,32.0,1920.0,937.0,1920.0,1080.0,0-25-2022,9-30-15,10.0,depth_discrimination_stimuli/000368_2014-06-09_15-53-01_260595134347_rgbf000155-resize_2/000368_2014-06-09_15-53-01_260595134347_rgbf000155-resize_2-target.png,depth_discrimination_stimuli/002678_2014-06-13_16-15-32_094959634447_rgbf000151-resize_6/002678_2014-06-13_16-15-32_094959634447_rgbf000151-resize_6-target.png,250.0,2.4859999999999998,2.1830000000000003,0.3029999999999995,depth_discrimination_stimuli/002678_2014-06-13_16-15-32_094959634447_rgbf000151-resize_6/002678_2014-06-13_16-15-32_094959634447_rgbf000151-resize_6-target.png,0.0,1460.0,1001.0,249.0,1000.0,249.0,500.0,,614740,50,Man
210,732287.0,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim250_randls_36.json,http://54.173.230.142/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#32,32.0,1920.0,937.0,1920.0,1080.0,0-25-2022,9-30-15,11.0,depth_discrimination_stimuli/001570_2014-06-20_17-21-09_260595134347_rgbf000135-resize_4/001570_2014-06-20_17-21-09_260595134347_rgbf000135-resize_4-target.png,depth_discrimination_stimuli/001392_2014-06-19_16-07-59_260595134347_rgbf000046-resize_1/001392_2014-06-19_16-07-59_260595134347_rgbf000046-resize_1-target.png,250.0,4.467,4.135,0.33199999999999985,depth_discrimination_stimuli/001392_2014-06-19_16-07-59_260595134347_rgbf000046-resize_1/001392_2014-06-19_16-07-59_260595134347_rgbf000046-resize_1-target.png,0.0,1709.0,1000.0,249.0,1000.0,249.0,500.0,,614740,50,Man
